,tweet_id,favorites,retweets
1322,756939218950160384,7021,2166
1323,756998049151549440,6615,2136
1324,757354760399941633,4757,1532
1325,757393109802180609,6152,1883
1326,757400162377592832,15975,7364
1327,757596066325864448,4589,1139
1328,757597904299253760,0,314
1329,757611664640446465,4805,1203
1330,757725642876129280,4790,1310
1331,757729163776290825,0,8729
1332,757741869644341248,7270,3502
1333,758041019896193024,2858,403
1334,758355060040593408,3621,1168
1335,758405701903519748,5493,2080
1336,758467244762497024,5075,2402
1337,758474966123810816,4034,1070
1338,758740312047005698,6048,1729
1339,758828659922702336,11795,4132
1340,758854675097526272,3747,962
1341,759047813560868866,6870,2178
1342,759099523532779520,15333,4498
1343,759159934323924993,0,1249
1344,759197388317847553,6391,2099
1345,759447681597108224,8964,2638
1346,759557299618865152,4961,1264
1347,759566828574212096,0,22755
1348,759793422261743616,6295,2047
1349,759846353224826880,7094,2137
1350,759923798737051648,15507,6113
1351,760190180481531904,6017,1949
1352,760252756032651264,4160,933
1353,760290219849637889,28355,12385
1354,760539183865880579,8010,3914
1355,760641137271070720,5233,1392
1356,760656994973933572,6976,2078
1357,760893934457552897,4037,1052
1358,761004547850530816,11954,3743
1359,761227390836215808,5613,1678
1360,761292947749015552,4718,1185
1361,761334018830917632,5493,1566
1362,761371037149827077,0,19382
1363,761599872357261312,4365,1267
1364,761672994376806400,52402,31329
1365,761745352076779520,4494,929
1366,761750502866649088,0,4245
1367,761976711479193600,5706,2183
1368,762035686371364864,33831,16851
1369,762316489655476224,5095,1217
1370,762464539388485633,10905,4532
1371,762471784394268675,11927,6989
1372,762699858130116608,12862,3913
1373,763103485927849985,7789,2462
1374,763183847194451968,5710,1588
1375,763837565564780549,13320,4507
1376,764259802650378240,6403,1635
1377,764857477905154048,6801,1910
1378,765222098633691136,12297,3658
1379,765371061932261376,7509,2334
1380,765395769549590528,27983,3671
1381,765669560888528897,5497,1317
1382,765719909049503744,7664,2324
1383,766008592277377025,3966,535
1384,766069199026450432,4524,928
1385,766078092750233600,0,2810
1386,766313316352462849,7179,2031
1387,766423258543644672,6372,1727
1388,766693177336135680,4262,856
1389,766793450729734144,5373,1468
1390,767122157629476866,10721,3077
